NODE_9_length_9095_cov_1.230709	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodobacterales; Paracoccaceae; unclassified Paracoccaceae; Paracoccaceae bacterium; 
NODE_147_length_3988_cov_1.018389	Viruses; environmental samples; uncultured marine virus; 
NODE_259_length_3432_cov_1.369138	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Kyanoviridae; Cymopoleiavirus; Cymopoleiavirus swam2; Synechococcus phage S-WAM2; 
NODE_354_length_3077_cov_1.232203	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; environmental samples; uncultured Mediterranean phage uvMED; 
NODE_434_length_2906_cov_1.204390	cellular organisms; Bacteria; environmental samples; uncultured bacterium EIL26B11; 
NODE_492_length_2801_cov_2.561705	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; unclassified Pelagibacterales; Pelagibacterales bacterium; 
NODE_526_length_2748_cov_1.385731	Viruses; environmental samples; uncultured marine virus; 
NODE_649_length_2594_cov_1.158897	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Devosiaceae; Cucumibacter; Cucumibacter marinus; 
NODE_738_length_2468_cov_1.163605	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
NODE_798_length_2403_cov_1.130053	
NODE_1110_length_2144_cov_1.828458	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; unclassified Pelagibacteraceae; Pelagibacteraceae bacterium; 
NODE_1115_length_2141_cov_1.978649	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; unclassified Candidatus Pelagibacter; Candidatus Pelagibacter sp. RS39; 
NODE_1161_length_2111_cov_1.540827	Viruses; environmental samples; uncultured marine virus; 
NODE_1201_length_2092_cov_1.132824	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; environmental samples; uncultured Mediterranean phage uvMED; 
NODE_1345_length_2020_cov_12.856841	cellular organisms; Bacteria; Terrabacteria group; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae; Prochlorococcus; 
NODE_1365_length_2010_cov_2.028678	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; unclassified Pelagibacteraceae; Pelagibacteraceae bacterium; 
NODE_1439_length_1975_cov_1.155844	cellular organisms; Archaea; Candidatus Thermoplasmatota; Candidatus Poseidoniia; Candidatus Poseidoniales; unclassified Candidatus Poseidoniales; Candidatus Poseidoniales archaeon; 
NODE_1475_length_1958_cov_1.712725	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; 
NODE_1510_length_1939_cov_1.293046	
NODE_1744_length_1843_cov_1.022145	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_1819_length_1818_cov_1.564755	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_1842_length_1811_cov_1.318884	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_1891_length_1796_cov_5.967046	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Liberibacter; Candidatus Liberibacter asiaticus; 
NODE_2044_length_1757_cov_0.974847	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Candidatus Actinomarinidae; Candidatus Actinomarinales; Candidatus Actinomarineae; Candidatus Actinomarinaceae; Candidatus Actinomarina; unclassified Candidatus Actinomarina; Candidatus Actinomarina sp. HD9-500m-PIT-SAG01; 
NODE_2131_length_1734_cov_0.585563	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; unclassified Flavobacteriaceae; Flavobacteriaceae bacterium; 
NODE_2232_length_1709_cov_0.785082	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_2290_length_1694_cov_0.873006	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; unclassified Flavobacteriales; Flavobacteriales bacterium TMED228; 
NODE_2306_length_1691_cov_2.089514	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
NODE_2394_length_1671_cov_1.477979	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; unclassified Flavobacteriaceae; Flavobacteriaceae bacterium; 
NODE_2482_length_1650_cov_0.634274	cellular organisms; Bacteria; environmental samples; uncultured bacterium eBACmed86H08; 
NODE_2503_length_1647_cov_0.905921	
NODE_2843_length_1574_cov_1.143746	cellular organisms; Bacteria; delta/epsilon subdivisions; Deltaproteobacteria; unclassified Deltaproteobacteria; Deltaproteobacteria bacterium; 
NODE_2850_length_1573_cov_0.931535	
NODE_3066_length_1533_cov_1.108108	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; unclassified Pelagibacteraceae; Pelagibacteraceae bacterium BACL20 MAG-120920-bin64; 
NODE_3148_length_1520_cov_2.147164	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; unclassified Pelagibacteraceae; Pelagibacteraceae bacterium; 
NODE_3201_length_1512_cov_9.031047	cellular organisms; Bacteria; Terrabacteria group; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus; 
NODE_3264_length_1504_cov_1.300654	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Candidatus Actinomarinidae; Candidatus Actinomarinales; Candidatus Actinomarineae; Candidatus Actinomarinaceae; Candidatus Actinomarina; unclassified Candidatus Actinomarina; Candidatus Actinomarina sp. HD9-500m-PIT-SAG01; 
NODE_3324_length_1496_cov_1.187728	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; environmental samples; uncultured Mediterranean phage uvMED; 
NODE_3397_length_1485_cov_0.941090	cellular organisms; Bacteria; Terrabacteria group; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae; Prochlorococcus; unclassified Prochlorococcus; Prochlorococcus sp.; 
NODE_3410_length_1483_cov_1.252950	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Candidatus Actinomarinidae; Candidatus Actinomarinales; unclassified Candidatus Actinomarinales; Candidatus Actinomarinales bacterium; 
NODE_3601_length_1457_cov_1.318797	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; 
NODE_3652_length_1449_cov_1.189864	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Kyanoviridae; Charybdisvirus; Charybdisvirus scam3; Synechococcus phage S-CAM3; 
NODE_3794_length_1431_cov_1.655675	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; unclassified Pelagibacterales; Pelagibacterales bacterium; 
NODE_3885_length_1422_cov_0.742857	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
NODE_3942_length_1414_cov_0.944833	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Candidatus Actinomarinidae; Candidatus Actinomarinales; Candidatus Actinomarineae; Candidatus Actinomarinaceae; Candidatus Actinomarina; unclassified Candidatus Actinomarina; Candidatus Actinomarina sp. HD9-500m-PIT-SAG01; 
NODE_3993_length_1407_cov_0.989844	cellular organisms; Bacteria; delta/epsilon subdivisions; Deltaproteobacteria; unclassified Deltaproteobacteria; Deltaproteobacteria bacterium; 
NODE_4041_length_1402_cov_0.509804	cellular organisms; Bacteria; PVC group; Planctomycetota; Planctomycetia; Planctomycetales; Planctomycetaceae; unclassified Planctomycetaceae; Planctomycetaceae bacterium TMED138; 
NODE_4109_length_1393_cov_0.890205	cellular organisms; Archaea; Euryarchaeota; unclassified Euryarchaeota; Euryarchaeota archaeon; 
NODE_4183_length_1385_cov_0.871224	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; 
NODE_4226_length_1379_cov_1.440096	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
NODE_4304_length_1371_cov_1.054662	cellular organisms; Bacteria; unclassified Bacteria; bacterium HD9-500m-PIT-SAG08; 
NODE_4316_length_1370_cov_0.625101	cellular organisms; Archaea; Candidatus Thermoplasmatota; Candidatus Poseidoniia; Candidatus Poseidoniales; unclassified Candidatus Poseidoniales; Candidatus Poseidoniales archaeon; 
NODE_4396_length_1361_cov_0.606159	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
NODE_4438_length_1357_cov_0.886992	cellular organisms; Bacteria; 
NODE_4513_length_1350_cov_1.081766	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; unclassified Hyphomicrobiales; Rhizobiales bacterium TMED94; 
NODE_4605_length_1341_cov_0.807249	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes; Caudoviricetes sp.; 
NODE_4685_length_1332_cov_1.807469	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Eurybiavirus; unclassified Eurybiavirus; Eurybiavirus sp.; 
NODE_4747_length_1328_cov_0.547044	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Gammaproteobacteria incertae sedis; SAR86 cluster; SAR86 cluster bacterium SAR86A; 
NODE_4758_length_1327_cov_0.643333	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; unclassified Candidatus Pelagibacter; Candidatus Pelagibacter sp. RS40; 
NODE_4781_length_1324_cov_1.363409	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_4815_length_1321_cov_1.304020	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; unclassified Pelagibacteraceae; 
NODE_4827_length_1320_cov_0.792959	
NODE_5048_length_1302_cov_1.567660	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; unclassified Pelagibacterales; Pelagibacterales bacterium; 
NODE_5062_length_1302_cov_0.503830	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; unclassified Flavobacteriaceae; Flavobacteriaceae bacterium TMED145; 
NODE_5152_length_1294_cov_2.677806	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; unclassified Pelagibacteraceae; Pelagibacteraceae bacterium GOM-A1; 
NODE_5202_length_1290_cov_0.728289	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Gammaproteobacteria incertae sedis; SAR86 cluster; SAR86 cluster bacterium SAR86A; 
NODE_5226_length_1288_cov_1.097330	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Eurybiavirus; unclassified Eurybiavirus; Eurybiavirus sp.; 
NODE_5261_length_1286_cov_1.013805	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
NODE_5376_length_1277_cov_0.837391	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
NODE_5393_length_1276_cov_0.783290	cellular organisms; Archaea; Euryarchaeota; unclassified Euryarchaeota; Euryarchaeota archaeon; 
NODE_5442_length_1273_cov_0.450262	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; unclassified Pelagibacteraceae; Pelagibacteraceae bacterium GOM-A1; 
NODE_5468_length_1270_cov_5.279965	cellular organisms; Bacteria; Terrabacteria group; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae; Prochlorococcus; unclassified Prochlorococcus; Prochlorococcus sp. AH-736-P10; 
NODE_5573_length_1263_cov_1.617958	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; environmental samples; uncultured Mediterranean phage uvMED; 
NODE_5634_length_1258_cov_0.549956	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_5677_length_1254_cov_0.573203	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Acidimicrobiaceae; unclassified Acidimicrobiaceae; Acidimicrobiaceae bacterium TMED130; 
NODE_5738_length_1249_cov_0.654189	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; 
NODE_5853_length_1239_cov_1.995504	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
NODE_5921_length_1233_cov_1.215190	Viruses; environmental samples; uncultured marine virus; 
NODE_5995_length_1229_cov_0.688748	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes; Caudoviricetes sp.; 
NODE_6173_length_1218_cov_1.035747	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Candidatus Actinomarinidae; Candidatus Actinomarinales; unclassified Candidatus Actinomarinales; Candidatus Actinomarinales bacterium; 
NODE_6233_length_1214_cov_0.873045	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium TMED54; 
NODE_6311_length_1209_cov_1.108133	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium TMED62; 
NODE_6381_length_1205_cov_0.723562	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
NODE_6443_length_1200_cov_2.248835	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_6550_length_1194_cov_1.172446	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; unclassified Candidatus Pelagibacter; Candidatus Pelagibacter sp. RS39; 
NODE_6592_length_1192_cov_0.737089	cellular organisms; Archaea; Euryarchaeota; unclassified Euryarchaeota; Euryarchaeota archaeon TMED173; 
NODE_6786_length_1180_cov_0.997151	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Cytophagia; Cytophagales; Flammeovirgaceae; unclassified Flammeovirgaceae; Flammeovirgaceae bacterium TMED290; 
NODE_6882_length_1175_cov_0.689885	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; unclassified Flavobacteriaceae; Flavobacteriaceae bacterium TMED184; 
NODE_6926_length_1173_cov_0.631931	
NODE_7127_length_1162_cov_1.103382	Viruses; environmental samples; uncultured marine virus; 
NODE_7200_length_1159_cov_0.894380	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Candidatus Actinomarinidae; Candidatus Actinomarinales; unclassified Candidatus Actinomarinales; Candidatus Actinomarinales bacterium; 
NODE_7265_length_1155_cov_1.165370	cellular organisms; Archaea; Candidatus Thermoplasmatota; Candidatus Poseidoniia; Candidatus Poseidoniales; unclassified Candidatus Poseidoniales; Candidatus Poseidoniales archaeon; 
NODE_7304_length_1153_cov_0.553606	cellular organisms; Bacteria; delta/epsilon subdivisions; Deltaproteobacteria; unclassified Deltaproteobacteria; Deltaproteobacteria bacterium; 
NODE_7336_length_1150_cov_1.163245	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; unclassified Pelagibacteraceae; Pelagibacteraceae bacterium; 
NODE_7425_length_1146_cov_0.756624	
NODE_7680_length_1133_cov_0.539761	cellular organisms; Bacteria; FCB group; Candidatus Marinimicrobia; Candidatus Marinimicrobia bacterium; 
NODE_7770_length_1128_cov_0.840160	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
NODE_7824_length_1125_cov_0.832665	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
NODE_7855_length_1123_cov_2.805221	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Brucellaceae; Brucella/Ochrobactrum group; Brucella; unclassified Brucella; Brucella sp. 83/13; 
NODE_8004_length_1116_cov_0.912032	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; 
NODE_8087_length_1112_cov_0.882234	cellular organisms; Bacteria; Terrabacteria group; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae; Prochlorococcus; unclassified Prochlorococcus; Prochlorococcus sp.; 
NODE_8107_length_1111_cov_0.911585	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Acidimicrobiia; Acidimicrobiales; Acidimicrobiaceae; unclassified Acidimicrobiaceae; Acidimicrobiaceae bacterium TMED210; 
NODE_8157_length_1109_cov_0.620163	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; unclassified Flavobacteriales; Flavobacteriales bacterium TMED96; 
NODE_8234_length_1106_cov_0.299285	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
NODE_8246_length_1105_cov_0.869121	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Gammaproteobacteria incertae sedis; SAR86 cluster; SAR86 cluster bacterium; 
NODE_8344_length_1101_cov_0.739220	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
NODE_8395_length_1099_cov_0.713992	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
NODE_8429_length_1097_cov_0.842268	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_8487_length_1095_cov_0.579545	cellular organisms; Archaea; Euryarchaeota; unclassified Euryarchaeota; Euryarchaeota archaeon; 
NODE_8554_length_1092_cov_0.805181	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
NODE_8594_length_1090_cov_1.480789	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; Candidatus Pelagibacter; Candidatus Pelagibacter ubique; 
NODE_8675_length_1087_cov_1.080208	
NODE_8898_length_1077_cov_0.705263	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Rhodothermota; unclassified Rhodothermota; Rhodothermaeota bacterium MED-G19; 
NODE_8943_length_1075_cov_0.631857	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_9048_length_1071_cov_0.560381	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Kyanoviridae; Kanaloavirus; unclassified Kanaloavirus; Kanaloavirus sp.; 
NODE_9099_length_1068_cov_1.493092	cellular organisms; Bacteria; Terrabacteria group; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae; Prochlorococcus; Prochlorococcus marinus; 
NODE_9115_length_1068_cov_0.721573	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
NODE_9269_length_1061_cov_0.948608	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; unclassified Pelagibacteraceae; Pelagibacteraceae bacterium; 
NODE_9278_length_1060_cov_2.508039	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; unclassified Flavobacteriales; Flavobacteriales bacterium; 
NODE_9339_length_1058_cov_1.636950	cellular organisms; Bacteria; Pseudomonadota; unclassified Pseudomonadota; Pseudomonadota bacterium; 
NODE_9461_length_1053_cov_1.448164	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; unclassified Pelagibacteraceae; Pelagibacteraceae bacterium; 
NODE_9487_length_1052_cov_3.156757	cellular organisms; Bacteria; Terrabacteria group; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae; Prochlorococcus; 
NODE_9529_length_1051_cov_0.728355	cellular organisms; Bacteria; delta/epsilon subdivisions; Deltaproteobacteria; unclassified Deltaproteobacteria; Deltaproteobacteria bacterium; 
NODE_9548_length_1050_cov_0.875406	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; unclassified Autographiviridae; Prochlorococcus phage P-SCSP2; 
NODE_9655_length_1045_cov_0.929194	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
NODE_9734_length_1042_cov_1.708197	cellular organisms; Bacteria; unclassified Bacteria; bacterium HD9-500m-PIT-SAG08; 
NODE_9833_length_1039_cov_0.519737	cellular organisms; Bacteria; 
NODE_9853_length_1038_cov_0.703622	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Porticoccaceae; unclassified Porticoccaceae; Porticoccaceae bacterium; 
NODE_9986_length_1033_cov_3.498896	Viruses; environmental samples; uncultured marine virus; 
NODE_10007_length_1033_cov_0.642384	cellular organisms; Bacteria; Pseudomonadota; unclassified Pseudomonadota; Pseudomonadota bacterium; 
NODE_10121_length_1028_cov_1.802442	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; unclassified Pelagibacterales; Pelagibacterales bacterium; 
NODE_10286_length_1023_cov_0.857143	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
NODE_10377_length_1020_cov_0.619261	cellular organisms; Bacteria; Terrabacteria group; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae; Prochlorococcus; unclassified Prochlorococcus; Prochlorococcus sp.; 
NODE_10420_length_1018_cov_1.103255	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_10481_length_1016_cov_0.813273	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_10575_length_1013_cov_0.503386	
NODE_10739_length_1007_cov_0.493182	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
NODE_10775_length_1006_cov_0.420933	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_10825_length_1004_cov_1.368301	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Cryomorphaceae; unclassified Cryomorphaceae; Cryomorphaceae bacterium; 
NODE_10872_length_1003_cov_0.523973	cellular organisms; Bacteria; Pseudomonadota; unclassified Pseudomonadota; Proteobacteria bacterium TMED154; 
NODE_70_length_4762_cov_0.979288	Viruses; environmental samples; uncultured marine virus; 
NODE_175_length_3844_cov_1.000538	cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Rhodothermota; unclassified Rhodothermota; Rhodothermaeota bacterium MED-G19; 
NODE_246_length_3477_cov_0.894925	cellular organisms; Archaea; Euryarchaeota; unclassified Euryarchaeota; Euryarchaeota archaeon; 
NODE_279_length_3324_cov_1.286206	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
NODE_380_length_3030_cov_1.738891	cellular organisms; Bacteria; Terrabacteria group; Cyanobacteriota/Melainabacteria group; Cyanobacteriota; Cyanophyceae; Synechococcales; Prochlorococcaceae; Prochlorococcus; unclassified Prochlorococcus; Prochlorococcus sp.; 
NODE_388_length_3010_cov_1.027402	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Kyanoviridae; Alisovirus; Alisovirus socal22; Synechococcus phage S-CAM22; 
NODE_483_length_2833_cov_1.984848	cellular organisms; Bacteria; Pseudomonadota; unclassified Pseudomonadota; Pseudomonadota bacterium; 
NODE_652_length_2591_cov_1.209821	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; Pelagibacteraceae; unclassified Pelagibacteraceae; Pelagibacteraceae bacterium GOM-A1; 
NODE_719_length_2490_cov_1.835379	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Eurybiavirus; unclassified Eurybiavirus; Eurybiavirus sp.; 
NODE_771_length_2427_cov_1.206087	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; unclassified Alphaproteobacteria; Alphaproteobacteria bacterium; 
NODE_841_length_2368_cov_1.636323	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; unclassified Gammaproteobacteria; Gammaproteobacteria bacterium; 
NODE_880_length_2326_cov_2.429286	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Pelagibacterales; unclassified Pelagibacterales; Pelagibacterales bacterium; 
NODE_959_length_2252_cov_0.981647	cellular organisms; Archaea; Euryarchaeota; unclassified Euryarchaeota; Euryarchaeota archaeon; 
NODE_995_length_2222_cov_1.342243	cellular organisms; Bacteria; Pseudomonadota; unclassified Pseudomonadota; Pseudomonadota bacterium; 
NODE_1075_length_2167_cov_1.196078	cellular organisms; Archaea; Euryarchaeota; unclassified Euryarchaeota; Euryarchaeota archaeon; 
NODE_1113_length_2143_cov_3.011409	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; unclassified Actinomycetota; Actinomycetota bacterium; 
